name,ring,quadrant,isNew,description
Java,adopt,languages & frameworks,FALSE,"<a target=""_blank"" href=""https://openjdk.java.net/"">OpenJDK Homepage</a><br><br><a target=""_blank"" href=""https://www.oracle.com/technetwork/java/index.html"">Oracle Java Homepage</a>"
Javascript,adopt,languages & frameworks,FALSE,
Node,adopt,languages & frameworks,FALSE,
JUnit,adopt,languages & frameworks,FALSE,
Mockito,adopt,languages & frameworks,FALSE,
Python,adopt,languages & frameworks,FALSE,
Typescript,adopt,languages & frameworks,FALSE,
Pact,adopt,languages & frameworks,FALSE,
Spring,adopt,languages & frameworks,FALSE,
Spring Cloud,adopt,languages & frameworks,FALSE,
Spock,adopt,languages & frameworks,FALSE,
Spring Data,adopt,languages & frameworks,FALSE,
SQL,adopt,languages & frameworks,FALSE,
Swift,adopt,languages & frameworks,FALSE,
OpenAPI / Swagger,adopt,languages & frameworks,FALSE,
Resilience4J,adopt,languages & frameworks,FALSE,
Terraform,adopt,languages & frameworks,FALSE,
Cognito,adopt,languages & frameworks,FALSE,
Angular,adopt,languages & frameworks,FALSE,
Lombok,adopt,languages & frameworks,FALSE,
Spring Feign,adopt,languages & frameworks,FALSE,
Jest,adopt,languages & frameworks,FALSE,
Redis,adopt,languages & frameworks,FALSE,
fp-ts,adopt,languages & frameworks,TRUE,
Vavr,adopt,languages & frameworks,TRUE,
Cypress,adopt,languages & frameworks,FALSE,
"HTTP/2,HTTP/3",adopt,languages & frameworks,FALSE,
REST Assured,adopt,languages & frameworks,TRUE,
Mobile Test Framework,trial,languages & frameworks,FALSE,
express.js,trial,languages & frameworks,TRUE,
Terraform cdktf,assess,languages & frameworks,TRUE,
Spring Cloud Native Build Pack,assess,languages & frameworks,FALSE,
Guava Cache,hold,languages & frameworks,FALSE,
SAS Macro,hold,languages & frameworks,FALSE,
C#,hold,languages & frameworks,FALSE,
Groovy for Testing,hold,languages & frameworks,FALSE,
Hibernate,hold,languages & frameworks,FALSE,
Jenkins Pipelines,hold,languages & frameworks,FALSE,
TestNG,hold,languages & frameworks,FALSE,
WireMock,hold,languages & frameworks,FALSE,
Powershell,hold,languages & frameworks,FALSE,
Selenium,hold,languages & frameworks,FALSE,
Spring Data REST,hold,languages & frameworks,FALSE,
Vaadin,hold,languages & frameworks,FALSE,
Grails,hold,languages & frameworks,FALSE,
Perl,hold,languages & frameworks,FALSE,
RestEasy,hold,languages & frameworks,FALSE,
Ember,hold,languages & frameworks,FALSE,
Cucumber,hold,languages & frameworks,FALSE,
PowerMock for Statics,hold,languages & frameworks,FALSE,
Spring Cloud Contract with WireMock,hold,languages & frameworks,FALSE,
AWS SNS,adopt,platforms,FALSE,
AWS SQS,adopt,platforms,FALSE,
AWS Lambda,adopt,platforms,FALSE,
AWS API Gateway,adopt,platforms,FALSE,
AWS Cognito,adopt,platforms,FALSE,
AWS DynamoDB,adopt,platforms,FALSE,
AWS RDS - PostgreSQL/MySQL,adopt,platforms,FALSE,
AWS ECS / Fargate,adopt,platforms,FALSE,
AWS Athena,adopt,platforms,FALSE,
PaaS (Platform as a Service),adopt,platforms,FALSE,
Linux,adopt,platforms,FALSE,
Cloud Front,adopt,platforms,FALSE,
Public Cloud (IaaS - Infrastructure as a Service),adopt,platforms,FALSE,
OpenJDK 17,adopt,platforms,FALSE,
AWS S3,adopt,platforms,FALSE,
Twistlock,adopt,platforms,FALSE,
AWS ALB,adopt,platforms,TRUE,
AWS Parameter Store,adopt,platforms,TRUE,
Redis/ElastiCache,adopt,platforms,FALSE,
AWS SES (Simple Email Service),adopt,platforms,FALSE,
AWS Transfer Family,trial,platforms,TRUE,
AWS MQ,trial,platforms,TRUE,
ECR Security Scanning,trial,platforms,TRUE,
Retrofit,hold,platforms,FALSE,
Cloud AMQP,hold,platforms,FALSE,
AWS Elastic File System,hold,platforms,FALSE,
SAS Viya,hold,platforms,FALSE,Includes Central Analytic Server (CAS)
Public Cloud (IaaS - Infrastructure as a Service),hold,platforms,FALSE,
OpenJDK 11+,hold,platforms,FALSE,
RabbitMQ,hold,platforms,FALSE,
MongoDB/Atlas,hold,platforms,FALSE,
Apache HTTP Server,hold,platforms,FALSE,
COTS Reporting Products,hold,platforms,FALSE,Customizable Off The Shelf (COTS) Reporting Products shouldn't be used at IDeaS within Products as they lack the flexibility and customization capabilities and/or are too expensive for our multi-tenant needs (exception being made to evaluate for Gemini)
Docker with Kubernetes,hold,platforms,FALSE,
Microsoft SQL Server,hold,platforms,FALSE,
Windows Stack,hold,platforms,FALSE,
AWS EKS,hold,platforms,FALSE,
NGINX,hold,platforms,FALSE,
Kafka,hold,platforms,FALSE,
VMware,hold,platforms,FALSE,
SAS Macro,hold,platforms,FALSE,
Self Hosting (Data Centers),hold,platforms,FALSE,
